OBJECTID,COD_SIG,COD_VIA,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,EIXO,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESPONSAVEL,FREGUESIA,COMP_M,COMP_KM,IDTIPO,ZONAMENTO,GlobalID,Shape__Length
130184,0000685,34999,0140,Rua Luís Derouet,Bairro de Campo de Ourique - 1ª fase,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2021,EMEL,Campo de Ourique,188.93,0.1889323,9196,Bairro de Campo de Ourique,ce8ff663-ab86-4fa8-aeb1-0b6e55a6f78a,242.779062424773
130191,0000094,,0044,Estrada da Portela ao Alto da Boavista - Estrada do Calhariz de Benfica,Parque Florestal de Monsanto - Troço T25 - Parque de Campismo de Lisboa/Rotunda de Pina Manique,Principal,Circular Exterior,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2021,CML/DMAEVCE; EMEL,Benfica,527.17,0.52717386,9196,Monsanto,d1037677-e1dd-4502-90b6-d20906487224,676.234219472026
130207,0000533,102120,0050,Via do Oriente,Alameda dos Oceanos Norte,Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,14.87,0.01487244,9196,Parque das Nações Norte,57c56dd0-c57b-40d9-89fb-6ee1cc4af60e,19.0569772534218
130214,1398,33532,0175,Rua da Portela,Z30 - Bairro da Encarnação - Rua da Portela,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2019,CML/DMM,Olivais,144.61,0.14461374,9196,Bairro da Encarnação,17b0b2b5-388d-4489-98c3-765cc22052f2,185.539638797434
130217,0000162,67047,0648,Largo de São Sebastião da Pedreira,Largo de São Sebastião,Complementar,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,CML/DMU/DEP; SRU,Avenidas Novas,203.32,0.20331822,9196,Avenidas Novas,29752fee-da3a-4493-bdef-6c237df574d8,261.065939301735
130219,0000507,35282,0050,Alameda dos Oceanos,Alameda dos Oceanos Norte,Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,459.36,0.45935843,9196,Parque das Nações Norte,aa1ba7a9-3edf-4c84-857d-fb286728a9fb,590.372597379151
130220,0000515,102120,0050,Via do Oriente,Alameda dos Oceanos Norte,Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Parque das Nações,1016.85,1.01685268,9196,Parque das Nações Norte,17b4d6cc-8fe4-41f5-b361-256505ffb1de,1307.89782526422
130222,0000745,,0136,Rota da Água,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,682.25,0.68225301,9196,Monsanto,c8c72ecf-1033-46d2-a71a-8e75b007cc66,874.842608157246
130224,156759,67002,0653,Avenida Elias Garcia,Planalto - Avenida Elias Garcia - Poente,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT,Avenidas Novas,39.69,0.03969175,9196,Avenidas Novas,17469daa-0632-4ac1-88cb-275ce7444826,50.8237178029607
130225,156764,67002,0653,Avenida Elias Garcia,Planalto - Avenida Elias Garcia - Poente,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML/DMMT,Avenidas Novas,36.65,0.03665003,9196,Avenidas Novas,f56f3cfb-65fe-4cb6-982a-62eba017569c,46.9284985775317
